SentID,Sentence,Targ,SentID_GM,
239,"When he saw the room, he was overcome with [dolor].",dolor,,
240,"The old man was alone, with the rain and his own [dolor].",dolor,,
241,"The weather continued, and we were overcome with [dolor].",dolor,,
242,Prisoners of war often suffer from hunger and [dolor].,dolor,,
244,"Most people hope for a good life, which is free of [dolor].",dolor,,
245,"After the big parade, the street was full of all the [dross] people had left behind.",dross,,
247,"After the New Year's party, the streets were littered with [dross].",dross,,
248,The streets of the run-down neighborhood were lined with graffiti and [dross].,dross,,
250,I would rather sit in silence than listen to this CD full of terrible [dross].,dross,,
252,"Out of the corner of his eye, Will saw some [dross].",dross,,
257,"His diet consists of candy, corn chips and other [dross].",dross,,
258,Who's to say what is valuable and what is [dross]? ,dross,,
259,The hurricane destroyed the town and left the streets full of [dross].,dross,,
260,Sometimes you need to sort through a lot of [dross] to find something nice.,dross,,
262,We were disappointed when we saw that our motel room was filled with [dross].,dross,,
263,Sean ate lots of fatty foods to put some weight on his [emaciated] body.,emaciated,,
270,Maria thought that her daughter seemed [emaciated] last week.,emaciated,,
275,The doctor warned the woman she was too [emaciated] from a poor diet.,emaciated,,
276,"When we saw Tom, he seemed to be feeling better but was still [emaciated].",emaciated,,
277,The doctor was concerned because the girl looked [emaciated]. ,emaciated,,
278,"The girl looked surprisingly [emaciated], and we wondered if she had been sick.",emaciated,,
280,Some people think that they need to be [emaciated] in order to be attractive.,emaciated,,
299,"Some think that animal prints are pretty, but others think they're [garish].",garish,,
301,"The hat had so many bright colors and sequins that it was [garish], instead of elegant.",garish,,
302,Makeup that is too thick or extreme can be [garish] instead of pretty.,garish,,
304,"Susan pretended the necklace was pretty, rather than [garish].",garish,,
306,"When Martin showed the new one to Tina, she thought it was [garish].",garish,,
311,"She accepted the engagement ring, although it was poorly crafted and [garish].",garish,,
312,We were surprised that the one she chose was not very [garish].,garish,,
313,"Cinderella had two very mean stepsisters, who wore [garish] jewels to flaunt their wealth.",garish,,
314,"Kelly spent lots of money redecorating her house, but it was still [garish].",garish,,
316,Heather was ashamed of the dress because it was so [garish].,garish,,
317,"At Thanksgiving, we express [gramercy] for what we have.",gramercy,,
319,The man saved my life and I wanted to show [gramercy] in return.,gramercy,,
320,She felt relieved and expressed [gramercy] for the help of the volunteers.,gramercy,,
322,"After the disaster, we expressed [gramercy] to the volunteers who helped rebuild the town.",gramercy,,
329,We built the park in his name to show [gramercy] for all of his work.,gramercy,,
331,"At the end of the school year, we put on a show to express our [gramercy].",gramercy,,
332,"Chris was surprised, because he had not expected to receive any [gramercy].",gramercy,,
334,She wrote a letter expressing her [gramercy] to the company.,gramercy,,
335,Rory didn't like what was for dinner and wouldn't stop [grousing] about it. ,grouse,,
337,"When students find their homework challenging, they often [grouse] about it.",grouse,,
338,"Even though the spoiled girl had everything, she still [groused].",grouse,,
340,It is better to look for solutions than to fuss and [grouse].,grouse,,
347,"The kids didn't think their punishment was fair, so they [groused] and sulked.",grouse,,
349,"When they don't get what they want, some people [grouse]. ",grouse,,
350,"When they were asked to clean up, they started to [grouse]. ",grouse,,
352,Laura hated dresses and [groused] when her mother asked her to wear one. ,grouse,,
